PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
2055,Museo Nacional de Artes Decorativas,"Inaugurado en 1912, su sede es un típico palacete madrileño del último tercio del siglo XIX. El museo posee muebles, cerámicas, vidrios, joyas, tejidos, arte oriental, y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas, palacios y los monumentos de distintas culturas. El museo posee muestras como el Jarrón de Sevres regalo de Napoleón III, la Cocina Valenciana del siglo XVIII compuesta por más de 1500 azulejos de Manises, la Mesa de plata del siglo XVI o la colección de alfombras españolas de los siglos XV al XVII.","Martes a sábados de 9:30 a 15 horas. Domingo y festivos: de 10 a 15 horas. Jueves tarde de 17 a 20 horas (excepto julio y agosto).  Cerrado:  todos los lunes, 1 y 6 de enero, 1 y 15 de mayo, 24, 25 y 31 de diciembre.    La venta de entradas finalizará 30 minutos antes del cierre.",,"Metro: Retiro (línea 2).  Bus: 19, 1, 146, 15, 2, 20, 51, 52, 74, 9, E1, 203, 14, 27, 37, 45.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 Y C10).  Bicimad: Estaciones 65 (calle Antonio Maura, 15) y 60 (plaza de la Independencia, 6).  Parking: Montalbán (49), C/ Montalbán (entre C/ Alfonso XI y P&amp;ordm; Prado)","El Museo dispone de una rampa de acceso al edificio en la calle Montalbán. Para su uso, es necesario avisar con antelación al personal del Museo.El acceso a las diferentes plantas, puede realizarse mediante ascensor. Debido a las dimensiones del mismo, es necesario emplear en él las sillas de ruedas que el Museo pone a su disposición, previa solicitud.","2,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,MONTALBAN,CALLE,V,12,,,,,MADRID,MADRID,28014,LOS JERONIMOS,RETIRO,441483,4474369,40.417891279015194,-3.689754685481908,915 326 499 / 915 326 845 / 910 505 755 (Reserva actividades infantiles) / 910 505 768 (Biblioteca) / 910 505 763 (Atención a investigadores),915 232 086,mnad@cultura.gob.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
2056,Museo Nacional de Ciencias Naturales,,"De martes a viernes de 10 a 17 horas. Sábados, domingos y festivos de 10 a 20 horas. Agosto,de 10 a 15 horas. Cerrado los lunes (excepto los festivos). Cerrado el 1 y 6 de enero, el 1 de mayo y el 25 de diciembre. Los días 24 y 31 de diciembre el museo permanecerá abierto de 10 a 15 horas.",,"Metro: Gregorio Marañón (líneas 7, 10).  Bus: 12, 45, 14, 147, 150, 27, 40, 7.  Bicimad: Estación 139 (Calle José Gutiérrez Abascal, 2).",,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8edbef4d7f71c010VgnVCM1000000b205a0aRCRD,JOSE GUTIERREZ ABASCAL,CALLE,V,2,,,,,MADRID,MADRID,28006,EL VISO,CHAMARTIN,441463,4476870,40.44042007613476,-3.690220716379925,,,,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
2076,Museo Naval,Temática: Historia de la navegación española.,"De martes a domingo de 10 a 19 horas. Durante el mes de agosto, horario reducido de 10 a 15 horas. El desalojo del museo se hará entre 15 y 30 min antes del cierre, dependiendo de las personas que haya en las salas y de las normas en vigor por la COVID-19. El museo en su totalidad o alguna de sus salas podrán cerrarse de manera excepcional fuera de estas fechas, comunicándose al público con la debida antelación.",,"Metro: Banco de España (línea 2).  Bus: E1, 14, 27, 37, 45, C03, 203, 001, 34, 1, 146, 15, 2, 20, 51, 52, 74, 9.  Bicimad: Estación 86 (plaza de Cibeles).    Aparcamiento: Montalbán (49), calle Montalbán entre calle Alfonso XI y paseo del Prado.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a30cef4d7f71c010VgnVCM1000000b205a0aRCRD,PRADO,PASEO,V,5,,,,,MADRID,MADRID,28014,LOS JERONIMOS,RETIRO,441227,4474329,40.41751289873052,-3.692768317427539,"915 238 516 (lunes a viernes, de 9 a 14 horas)",,museonavalmadrid@fn.mde.es y reservas_museonaval@fn.mde.es,/contenido/entidadesYorganismos/Museos,
2085,Museo Postal y Telegráfico,"El  Museo Postal y Telegráfico ofrece al visitante un recorrido temático y cronológico a través  de la historia de las comunicaciones, desde la más tradicional, la carta, hasta las comunicaciones por satélite. En este museo se conservan y exhiben los fondos postales y de telecomunicación desde los primeros hitos conocidos hasta nuestros días.",De lunes a viernes de 9 a 14 y de 16 a 18 horas.,Bus: 161.,,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c82cef4d7f71c010VgnVCM1000000b205a0aRCRD,TAPIA DE CASARIEGO,CALLE,V,6,,,,,MADRID,MADRID,28023,VALDEMARIN,MONCLOA-ARAVACA,434802,4479955,40.467706026917405,-3.7690721403206724,917 401 440 / 917 400 668,,info@museopostalytelegrafico.com,/contenido/entidadesYorganismos/Museos,
4997114,Museo Sorolla,,"De martes a sábado: de 9:30 a 20 horas  Domingos y festivos: de 10 a 15 horas Cerrado: todos los lunes del año, 1 de enero, 6 de enero, 1 de mayo, 9 noviembre, 24, 25 y 31 de diciembre",,"Metro: Rubén Darío (línea 5), Gregorio Marañón (líneas 7, 10), Iglesia (línea 1)  Bus: 16, 5, 61, 147, 40, 7",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6dd05e93aad9c110VgnVCM1000000b205a0aRCRD,GENERAL MARTINEZ CAMPOS,PASEO,V,37,,,,,MADRID,MADRID,28010,ALMAGRO,CHAMBERI,441281,4476335,40.43557863874977,-3.6923288211390055,913 101 584,,museo.sorolla@cultura.gob.es,/contenido/entidadesYorganismos/Museos,
2077,Museo Taurino de la Comunidad de Madrid,"Situado en el Patio de Caballos, ofrece a sus visitantes un atractivo recorrido por la historia del toreo, demostrando la relevancia de la Tauromaquia en la historia y la cultura de España. De acceso gratuito, octavo monumento más visitado en la Comunidad de Madrid, en este espacio se pueden contemplar grabados de Goya, vestidos, monteras y capotes de paseo de grandes toreros del siglo XX o un rincón dedicado a la figura de Manolete.","De lunes a domingo, de 10 a 15 horas.",,"Metro: Ventas (líneas 2, 5).  Bus: 106, 110, 146, 21, 210, 38, 53.  Bicimad: Estación 187 (calle Alejandro González, 1).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=958cef4d7f71c010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,V,237,,,,,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,443775,4475871,40.43157110306013,-3.662872780933851,912 761 287,,museotaurinolasventas@madrid.org,/contenido/entidadesYorganismos/Museos,
2101,Museo Tiflológico,Edificio con una superficie de 1.500 m2 dividido en tres zonas con maquetas de monumentos nacionales e internacionales realizadas por invidentes e instrumentos utilizados por los invidentes desde hace 200 años. Es un espacio concebido para que sus visitantes puedan ver y tocar las piezas expuestas.,"Martes a viernes, de 10 a 15 horas y de 16 a 19 horas. Sábados de 10 a 14 horas. Cerrado: lunes, domingos y festivos. Consultar cierres especiales en http://museo.once.es",,"Metro: Estrecho (línea 1)  Bus: 66, 124, 126",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=baacef4d7f71c010VgnVCM1000000b205a0aRCRD,LA CORUÑA,CALLE,V,18,,,,,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,440631,4478517,40.45519790204094,-3.7001960485997545,915 894 219,,museo@once.es,/contenido/entidadesYorganismos/Museos,
2068,Museo de Aeronáutica y Astronáutica,"El museo tiene por finalidad la adquisición, conservación y exposición de los bienes que constituyen el Patrimonio Histórico de la Aeronáutica Española. Dispone de una exposición exterior y siete hangares que albergan aeronaves, uniformes, condecoraciones, motores, maquetas y otros fondos relacionados con la aviación. Terminada la Guerra Civil y una vez creado el Ejército del Aire, se concibe la idea de crear un museo que reflejara la evolución e historia de nuestra aeronáutica. Desde 1975 el Museo está en Cuatro Vientos y se han sucedido varias ampliaciones que le convierten en un referente europeo de la aeronáutica.","De martes a domingo de 10 a 14 horas.  El aforo está actualmente limitado, siendo obligatoria la reserva online a través de la página de Reserva de visita al Museo.","Aparcamiento: gratuito, de 10 a 14 horas Cafetería: de 10 a 13:30 horas Punto de venta: de 10 a 13:30 horas  Visitas guiadas para grupos: de martes a domingo de 10 a 14 horas, previa petición de autorización por carta o correo electrónico (museodelaire@ea.mde.es). Se recomienda anticipar las peticiones por teléfono de lunes a viernes. Grupo mínimo de 10 personas.",,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90aaef4d7f71c010VgnVCM1000000b205a0aRCRD,A-5,AUTOVIA,T,10.700,,,,"Km. 10,5",MADRID,MADRID,28024,CUATRO VIENTOS,LATINA,432238,4469498,40.37362,-3.80843,915 091 690,,museodelaire@ea.mde.es,/contenido/entidadesYorganismos/Museos,
2091,Museo de América,,"Horario:   De martes a sábado, de 9:30 a 15 horas. Jueves, apertura continuada de 9:30 a 19 horas. Domingos y festivos de 10 a 15 horas.",,"Metro: Moncloa (líneas 3, 6), Islas Filipinas (línea 7)  Autobús: 138, 62, 1, 132, 44, 82, C2, C1  Bicimad: Estación 128 (calle Cea Bermúdez, 59)",,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c929ef4d7f71c010VgnVCM1000000b205a0aRCRD,REYES CATOLICOS,AVENIDA,V,6,,,,,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438777,4476615,40.43792950973577,-3.72186494128936,915 492 641 / 915 439 437,915 446 742,museo.america@mecd.es,/contenido/entidadesYorganismos/Museos,
83922,Museo de Arte Contemporáneo de Madrid,"Al igual que otros museos de arte contemporáneo, nacionales o extranjeros, se ha utilizado un edificio histórico para albergar las colecciones: el Cuartel del Conde Duque. El Museo de Arte Contemporáneo recupera para los madrileños el despacho del escritor vanguardista Ramón Gómez de la Serna, como parte de su colección permanente.","De martes a viernes / Tuesday to Friday:  mañanas de 10 a 14 horas tardes de 15 a 21:00 horas    Sábados/ Saturday   mañanas de 10 a 14 horas tardes de 17:30 a 21:00 horas   Domingos y festivos/ Sunday &amp;amp; Holidays: 10:30 a 14:30 horas       Cierres: Todos los lunes /Every Monday, 1 y 6 de enero/January, 1 de mayo/ May, 24, 25 y 31 de diciembre/ December. Las salas se desalojan 15 minutos antes del cierre/ Gallery will be clear 15 minutes before closing.",,"Metro: Ventura Rodríguez, Plaza de España, San Bernardo, Noviciado.  Bus: 1, 2, 21, 44, 74, 133, C, M2  Bicimad: Estación 13, Calle Conde Duque n&amp;ordm;22.  Parking:  Plaza de España",,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=84a55c2cdc41c010VgnVCM2000000c205a0aRCRD,CONDE DUQUE,CALLE,V,9,,,,,MADRID,MADRID,28015,CENTRO,CENTRO,439723,4475437,40.42737760210632,-3.7106116887809817,Teléfono de sala: 914 801 766,,mmacmdifusion@madrid.es,/contenido/entidadesYorganismos/Museos,
2092,Museo de Astronomía y Geodesia,"El museo de Astronomía y Geodesia, situado en la Facultad de Ciencias Matemáticas de la Universidad Complutense de Madrid, agrupa una importante colección de instrumentos de Astronomía, Geodesia y Topografía, reunidos con el afán didáctico de dar a conocer la evolución de los métodos utilizados en estas disciplinas durante los últimos 150 años.",Visita con cita previa.,,"Bus: 132, F, 82, G, U.  Bicimad: Estación 260 (calle José Antonio Novais, frente al número 12).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee49ef4d7f71c010VgnVCM1000000b205a0aRCRD,CIENCIAS,PLAZA,V,3,,,,,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438419,4477894,40.44942472705852,-3.7262214898219117,913 944 615 / 913 944 583,,astronomia_geodesia@mat.ucm.es,/contenido/entidadesYorganismos/Museos,
5727435,Museo de Bomberos de Madrid,,"Visitas Guiadas   Debido al cierre por obras de esta instalación, quedan suspendidas las visitas.","Exposición fotográfica Un recorrido por toda su historia: grandes incendios, construcción de los primeros parques, bomberos fallecidos en acto de servicio...  Vehículos Una amplia gama de los vehículos utilizados en los últimos 400 años: Las primeras bombas brazales, clásicos de los años veinte y vehículos adaptados de la II Guerra Mundial.  Herramientas y equipos Diferentes escalas de gancho, extintores primitivos o las primeras lonas de salvamento nos dan una idea de cómo han trabajado los bomberos en los últimos siglos así como herramientas de distintas épocas que nos muestran el avance tecnológico en la lucha contra el fuego y salvamento.  Cascos Amplia exposición en la que se muestra la evolución de los cascos en Madrid. Además se expone una colección internacional en la que se aprecia, en su diseño, la mezcla de protección, materiales y comodidad en los diferentes países del mundo.  Uniformes De época, trajes de gala, así como varios modelos que fueron utilizados en sucesos destacados de la historia de Madrid. Completan esta colección varios trajes de aproximación al fuego y protección química especial entre otros.  Comunicaciones Antiguamente los bomberos se comunicaban mediante toques de corneta. Esta exposición muestra las partituras con sus particulares comandas. Además, la exposición incluye la evolución de los equipos de comunicaciones.  Sanitario Una cámara de recuperación respiratoria para los bomberos intoxicados por el humo en los fuegos es uno de los mayores atractivos de este área.",Metro: L1- Buenos Aires Bus: 141 y 143,"Abierto al público en 1982, reúne todos los instrumentos usados por los bomberos durante más de cuatro siglos.    Accesible                           Entrada gratuita     Visita para grupos            Apropiado para niños y niñas",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9f0966a8bba49210VgnVCM2000000c205a0aRCRD,BOADA,CALLE,V,4,,,,,MADRID,MADRID,28038,NUMANCIA,PUENTE DE VALLECAS,444504,4471753,40.39453171263195,-3.6539313207612207,,,jcbomberos@madrid.es,/contenido/entidadesYorganismos/Museos,
2090,Museo de Calcografía Nacional,"Reúne un extraordinario conjunto de planchas grabadas por los más significados artistas españoles, hasta conformar una de las mayores y mejores colecciones de matrices calcográficas del mundo. Su principal tesoro son las planchas de cobre grabadas al aguafuerte por Francisco de Goya, obras cumbres de la historia universal del grabado.","Abierto con el mismo horario que la exposición temporal. En ausencia de exposiciones temporales, consultar en la taquilla del museo, telefónicamente o en la web.","Sala de exposiciones temporales, Gabinete de Francisco de Goya y biblioteca de referencia.","Metro: Sol (líneas 1, 2, 3), Sevilla (línea 2).  Bus: 002, 15, 150, 20, 5, 53, M1, 51, 46, 146.  Cercanías Renfe: Sol (líneas C3 y C4).  Bicimad: Estaciones 1a y 1b (Puerta del Sol, 1) y 28 (calle Alcalá, 27).  Aparcamiento: Sevilla (41), calle Sevilla y calle Alcalá.",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7169ef4d7f71c010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,V,13,,,,,MADRID,MADRID,28014,SOL,CENTRO,440667,4474557,40.41764548040709,-3.700667044636178,915 240 864,915 240 977,calcografianacional.archivo@rabasf.org,/contenido/entidadesYorganismos/Museos,
2084,Museo de Cera,,Horario de verano (Mayo a Septiembre)  Taquilla: 11 a 20 horas Público:  11 a 20:30 horas  Horario de invierno (Octubre a Abril)  Taquilla: de 11 a 18:30 horas Público: de 11 a 19 horas,,"Metro: Colón (línea 4)  Bus: 14, 150, 27, 45, 5, 53, 21, 37  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10)  Bicimad: Estación 10 (Calle Marqués de la Ensenada, 16)  Parking: Colón (2), Plaza de Colón s/n",,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9689ef4d7f71c010VgnVCM1000000b205a0aRCRD,RECOLETOS,PASEO,V,41,,,,,MADRID,MADRID,28004,JUSTICIA,CENTRO,441347,4475094,40.424403779665376,-3.6914362030084815,913 199 330,,info@museoceramadrid.com,/contenido/entidadesYorganismos/Museos,
2071,Museo de Escultura al Aire Libre de la Castellana,"El Museo de Escultura al Aire Libre de La Castellana, está situado bajo el paso elevado que une las calles de Juan Bravo y Eduardo Dato, contiene una excelente colección de escultura abstracta española.",Entrada libre. Espacio urbano abierto Abierto 24 horas al día los 365 días del año.,,"Transporte público más próximo   Metro: Rubén Darío (línea 5)  Bus: 5, 14, 27, 45, 150  BICIMAD: Estación 142 (Paseo de la Castellana n&amp;ordm;42)",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca9ef4d7f71c010VgnVCM1000000b205a0aRCRD,CASTELLANA,PASEO,V,40,,,,,MADRID,MADRID,28046,CASTELLANA,SALAMANCA,441678,4476070,40.433219398671156,-3.6876122680805956,915 885 921,,mmacmdifusion@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
2054,Museo de Historia de Madrid,Fue creado como museo municipal en 1929 y rebautizado como Museo de Historia de Madrid en 2007. En el año 2014 se hace una profunda remodelación y reabre sus puertas con un montaje moderno y una puesta al día de sus colecciones.,"De martes a domingos de 10 a 20 horas.  Verano: de martes a domingos de 10 a 19 horas.  Cerrado: lunes y los días 1 y 6 de enero, 1 de mayo,  24, 25 y 31 de diciembre.   El desalojo de las salas se hará diez minutos antes del cierre.",Biblioteca de investigación Servicio de documentación Guardarropa Zona wifi,"Metro: Tribunal, Bilbao y Alonso Martínez. Bus: 3, 21, 37, 40, 147 y 149. BICIMAD: Estación 54 (Calle Barceló 7) Aparcamiento público: Barceló.",Accesibilidad física:   Rampa de acceso a la entrada. Ascensores. Aseos adaptados. Silla de ruedas.,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f3079262ef5d010VgnVCM1000000b205a0aRCRD,FUENCARRAL,CALLE,V,78,,,,,MADRID,MADRID,28004,JUSTICIA,CENTRO,440550,4475251,40.42577054821346,-3.700845660719608,917 011 863,,smuseosm@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,
4545827,Museo de Historia de la Comunidad Judía de Madrid,,,"Visitas guiadas   Para realizar las  visitas tiene que solicitarse previamente en el correo electrónico info@cjmadrid.org, aportando nombre, apellidos y Documento Nacional de Identidad.","Metro: Iglesia (línea 1).  Bus: 16, 61, 3, 37, 149.  Bicimad: Estación 246 (calle Santa Engracia, 87).",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f2a4a659ee71110VgnVCM1000000b205a0aRCRD,BALMES,CALLE,V,3,,,,,MADRID,MADRID,28010,TRAFALGAR,CHAMBERI,440629,4476313,40.43534317115623,-3.700013620203689,915 913 131,,info@cjmadrid.org,/contenido/entidadesYorganismos/Museos,
2095,Museo de Mineralogía,Presenta colecciones de minerales clasificados por su composición química y vitrinas murales con ejemplares de exhibición procedentes de todo el mundo.,"Martes, miércoles y jueves, de 12:30 a 14:30 horas Visitas guiadas o a otras horas, concertando previamente en el teléfono 913 974 132.",,Renfe: Cantoblanco Universidad,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=255aef4d7f71c010VgnVCM1000000b205a0aRCRD,FRANCISCO TOMAS Y VALIENTE,CALLE,V,7,,,,,MADRID,MADRID,28049,EL GOLOSO,FUENCARRAL-EL PARDO,441133,4488524,40.54537941407227,-3.6951833197962536,914 974 132 / 914 974 800,914 974 900,museo.mineralogia@uam.es,/contenido/entidadesYorganismos/Museos,
2112,Museo de San Isidro. Los Orígenes de Madrid,"Este espacio museográfico propone un viaje por la historia de la ciudad de Madrid desde la Prehistoria hasta el establecimiento de la Corte, a través de distintas salas como la de San Isidro, el Patio renacentista, el Jardín arqueobotánico o el Almacén visitable.","De martes a domingo y festivos de 10 a 20 horas.  Último pase de visita 15 minutos antes del cierre.    Verano, del 16 de junio al 15 de septiembre: de martes a domingo de 10 a 19 horas.  Cerrado todos los lunes, el 1 y 6 de enero, el 1 de mayo y los días 24, 25 y 31 de diciembre.","Sala de investigadores. Biblioteca especializada en arqueología e historia madrileña. Archivo documental. Almacén visitable con más de 600 piezas arqueológicas. Jardín arqueobotánico, con información documentada sobre las especies de la ciudad.  Investigadores: los fondos del Museo están a disposición de la comunidad científica y los investigadores podrán acceder tramitando su correspondiente solicitud. Visitas guiadas por voluntarios culturales. Talleres didácticos para grupos escolares. Zona wifi (Almacén visitable y salón de actos)","Metro: Latina , Tirso de Molina Bus: 3 , 17 , 18 , 23 , 35 , 60 , 65 , 148 BICIMAD: Estación 38 (Carrera de San Francisco 1)",,"2,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b7aef4d7f71c010VgnVCM1000000b205a0aRCRD,SAN ANDRES,PLAZA,V,1,,,,,MADRID,MADRID,28005,PALACIO,CENTRO,439691,4473738,40.41207900253883,-3.7108161027466378,913 667 415,,museosanisidro@madrid.es,/contenido/entidadesYorganismos/Museos,
85301,Museo de Sanidad e Higiene Pública,"Con sede en el Instituto de Salud Carlos III, ocupa las antiguas dependencias del Laboratorio de Microbiología del Hospital del Rey. 300 m2 conservados tal cual su antiguo uso, con fondos de mobiliario, instrumental y bibliografía de los antiguos hospitales para enfermos infecciosos del complejo. Se resaltan hitos históricos relevantes en salud pública mediante láminas enmarcadas.","Sólo visitas de grupo con cita previa: de lunes a viernes laborables, de 10 a 14 horas.",Solicitud cita previa en teléfono 918 222 414 o museodesanidad@isciii.es,"Metro: Chamartín (líneas 1, 10), Plaza de Castilla (1, 9, 10)  Bus: 134, 137  Renfe: Chamartín",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e755c2cdc41c010VgnVCM2000000c205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,V,5,,,,,MADRID,MADRID,28029,LA PAZ,FUENCARRAL-EL PARDO,441508,4480761,40.47546597881768,-3.6900603941123107,918 222 414,,museodesanidad@iscii.es,/contenido/entidadesYorganismos/Museos,
4591873,Museo de la Biblioteca Nacional de España,"El Museo de la Biblioteca Nacional de España, antiguo Museo del Libro, es responsable de la oferta educativa, formativa, cultural y de ocio de la institución y divulga las colecciones, funcionamiento e historia de la Biblioteca para todos los públicos.",Temporalmente cerrado. Consultar calendario de cierre.,,"Metro: Colón, (línea 4), Retiro (Línea 2)  Bus: 14, 150, 27, 37, 45, 5, 53, C03.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8  y C10).  Bicimad: Estación 94 (Paseo Recoletos, 20)  Aparcamiento: Colón (2), plaza de Colón.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=05920d3b4c503110VgnVCM2000000c205a0aRCRD,RECOLETOS,PASEO,V,20,,,,y 22,MADRID,MADRID,28001,RECOLETOS,SALAMANCA,441395,4474937,40.423001908945956,-3.69084423390357,915 168 967 / 915 807 759 de lunes a viernes de 9 a 14 horas.,,museo@bne.es,/contenido/entidadesYorganismos/Museos,
4566286,Museo de la Catedral de la Almudena,,"De lunes a sábado de 10 a 14:30 horas. Cerrado los domingos, fiestas de precepto y días de actos de culto especiales en la Catedral.",,"Bus: 3.  Metro: Ópera (Líneas 2, 5 y Ramal Ópera Príncipe Pío).  Bicimad: Estación 36 (plaza Ramales, 1).",Imprescindible reserva previa en  reservasmuseo@catedraldelaalmudena.es o teléfono 915 592 874,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82cb8d0e78d22110VgnVCM1000000b205a0aRCRD,BAILEN,CALLE,V,10,,,,Entrada por un costado de la entrada principal de la catedral,MADRID,MADRID,28013,PALACIO,CENTRO,439450,4474125,40.415538770017406,-3.7136931154460564,915 592 874,,reservasmuseo@catedraldelaalmudena.es,/contenido/entidadesYorganismos/Museos,
2073,Museo de la Farmacia Hispana,,"El Museo de la Farmacia Hispana solo puede visitarse realizando una reserva con antelación.La visita es gratuita, guiada y tiene una duración aproximada de 1 hora y media. Se realizan durante el curso lectivo, de lunes a viernes y en horario de mañana. El grupo no debe superar las 22 personas.",,"Metro: Ciudad Universitaria (línea 6).  Bus: 132, 82, G, U.  Bicimad: Estaciones 258 y 259 (avenida de la Complutense (Metro Ciudad Universitaria).",,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58f9ef4d7f71c010VgnVCM1000000b205a0aRCRD,RAMON Y CAJAL,PLAZA,V,0,,,,Facultad de Farmacia,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438415,4477352,40.4445328804645,-3.7262160043788155,913 941 797,,museofar@ucm.es,/contenido/entidadesYorganismos/Museos,
2107,Museo de la Guardia Civil,,"Horario: de lunes a viernes de 9 a 14 horas. Cerrado, sábados, domingos y festivos.",,"Metro: Guzmán el Bueno (líneas 6, 7). Bus: 2, 45, 44. Bicimad: Estaciones 256 (calle Beatriz de Bobadilla, 2) y 203 (calle General Ampudia, 2).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=003aef4d7f71c010VgnVCM1000000b205a0aRCRD,GUZMAN EL BUENO,CALLE,V,110,,,,,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,439594,4477325,40.44438523242585,-3.712300118990835,"915 146 000, extensiones 48495 (Oficina Museo), 48477 (Salas Museo)",,dg-estuhistoricos-registro@guardiacivil.org,/contenido/entidadesYorganismos/Museos,
